PostIndex,Topic,Emotion,AudioFormat,VideoFormat,Language
1001,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1008,Memes,happy,self-spoken-monologues,videos-with-text,Bengali
1010,Dance,affection,self-spoken-monologues,self-shot,Bengali
1020,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1023,Couple Romance,affection,lip-syncing,self-shot,Bengali
1028,Couple Romance,affection,lip-syncing,special-effects,Bengali
1030,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1045,Dance,happy,lip-syncing,self-shot,Bengali
1051,Couple Romance,affection,lip-syncing,self-shot,Bengali
1066,Dance,happy,background-song-with-lyrics,self-shot,Bengali
1071,Dance,happy,lip-syncing,self-shot,Bengali
1075,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1077,Couple Romance,affection,lip-syncing,special-effects,Bengali
1079,Dance,happy,lip-syncing,self-shot,Bengali
1080,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1082,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1086,Dance,affection,self-spoken-monologues,special-effects,Bengali
1098,Couple Romance,affection,lip-syncing,self-shot,Bengali
1103,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1115,Couple Romance,affection,lip-syncing,special-effects,Bengali
1125,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1132,Couple Romance,affection,lip-syncing,self-shot,Bengali
1135,Heartbreak Romance,happy,lip-syncing,special-effects,Bengali
1153,Pranks,happy,self-spoken-dialogues,self-shot,Bengali
1161,Dance,happy,lip-syncing,special-effects,Bengali
1162,Dance,happy,lip-syncing,self-shot,Bengali
1174,Couple Romance,happy,lip-syncing,special-effects,Bengali
1180,Heartbreak Romance,anger,lip-syncing,self-shot,Bengali
1195,Couple Romance,happy,lip-syncing,special-effects,Bengali
1197,Couple Romance,happy,background-song-with-lyrics,self-shot,Bengali
1198,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1200,Couple Romance,affection,lip-syncing,self-shot,Bengali
1208,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1210,Couple Romance,affection,lip-syncing,self-shot,Bengali
1213,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1228,Dance,happy,lip-syncing,special-effects,Bengali
1229,Couple Romance,affection,lip-syncing,self-shot,Bengali
1232,Dance,happy,lip-syncing,self-shot,Bengali
1237,Pranks,happy,self-spoken-dialogues,videos-with-text,Bengali
1253,Couple Romance,affection,lip-syncing,self-shot,Bengali
1254,Dance,happy,lip-syncing,special-effects,Bengali
1263,Dance,happy,lip-syncing,self-shot,Bengali
1280,Couple Romance,affection,lip-syncing,self-shot,Bengali
1291,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1298,Heartbreak Romance,affection,background-song-with-lyrics,animation,Bengali
1315,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1316,Couple Romance,affection,lip-syncing,self-shot,Bengali
1319,Couple Romance,happy,background-song-with-lyrics,self-shot,Bengali
1321,Couple Romance,affection,lip-syncing,self-shot,Bengali
1323,Couple Romance,affection,background-song-with-lyrics,special-effects,Bengali
1326,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1328,Couple Romance,happy,lip-syncing,self-shot,Bengali
1331,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1333,Couple Romance,happy,background-song-with-lyrics,special-effects,Bengali
1342,Couple Romance,happy,background-song-with-lyrics,self-shot,Bengali
1348,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1358,Heartbreak Romance,sad,background-song-with-lyrics,special-effects,Bengali
1370,Dance,happy,background-song-with-lyrics,self-shot,Bengali
1373,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1378,Couple Romance,happy,lip-syncing,self-shot,Bengali
1381,Dance,happy,lip-syncing,self-shot,Bengali
1394,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1406,Couple Romance,happy,lip-syncing,self-shot,Bengali
1407,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
1408,Couple Romance,affection,lip-syncing,special-effects,Bengali
1414,Heartbreak Romance,sad,self-spoken-monologues,self-shot,Bengali
1421,Couple Romance,affection,background-song-with-lyrics,self-shot,Bengali
1430,Heartbreak Romance,sad,lip-syncing,special-effects,Bengali
1440,Dance,affection,self-spoken-monologues,self-shot,Bengali
1441,Heartbreak Romance,sad,background-song-with-lyrics,self-shot,Bengali
1443,Heartbreak Romance,sad,lip-syncing,self-shot,Bengali
